,title,company,location,link,description,skills
0,newConstruction Panel Erector,GCPS LTD,"Remote in Toronto, ON",https://ca.indeed.com/company/GCPS-LTD/jobs/Construction-Panel-Erector-e0bf10c236b10065?fccid=c7a23532ed0c2369&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>One of our company's primary markets is in the commercial/industrial sector focusing on cold storage, food and beverage manufacturers, as well as pharmaceutical manufacturers. We provide the design, supply and installation of energy efficient insulated metal panel construction for storage rooms, production and clean rooms as well as associated doors and refrigeration needs if required.</p>
<p>Position is primarily responsible to cut, place and seal insulated metal panels (""freezer panels"") per supplied plans and install personnel and automatic doors.</p>
<p>You are a sturdy person who enjoys working both indoors and outdoors. Occasional temperature extremes from -20 deg C to +30 deg C. Ability to use various hand and power tools with general machining such as cutting, grinding, snipping, drilling, screwing and caulking. Working at heights from scissor lifts, boom trucks and ladders.</p>
<p>Ability to calculate measurements, figures, and amounts such as area, length, width and height. Also able to exert up to 50 lbs of force occasionally, and/or 20 lbs of force frequently to lift, carry, push and pull.</p>
<p>Clean drivers abstract required, ability to operate and obtain licensing for forklift operation as well as aerial work equipment.</p>
<p>We are willing to train and teach the right candidate. Pay commensurate with experience but will advance quickly as candidate develops. Opportunity to work towards refrigeration mechanics license is also available for the right candidate.</p>
<p>We always have safety first in our work ethic and are a friendly place to work.</p>
<p>Work Remotely</p>
<ul>
<li>Yes</li>
</ul>
<p>Job Types: Full-time, Part-time, Freelance</p>
<p>Salary: $15.00-$45.00 per hour</p>
<p>Schedule:</p>
<ul>
<li>8 hour shift</li>
<li>Day shift</li>
<li>Monday to Friday</li>
</ul>
<p>Experience:</p>
<ul>
<li>Skilled Labor: 1 year (preferred)</li>
</ul>
<p>Licence/Certification:</p>
<ul>
<li>Driver's License (preferred)</li>
</ul>
</div>","['We are willing to train and teach the right candidate. Pay commensurate with experience but will advance quickly as candidate develops. Opportunity to work towards refrigeration mechanics license is also available for the right candidate.', 'Ability to calculate measurements, figures, and amounts such as area, length, width and height. Also able to exert up to 50 lbs of force occasionally, and/or 20 lbs of force frequently to lift, carry, push and pull.', 'You are a sturdy person who enjoys working both indoors and outdoors. Occasional temperature extremes from -20 deg C to +30 deg C. Ability to use various hand and power tools with general machining such as cutting, grinding, snipping, drilling, screwing and caulking. Working at heights from scissor lifts, boom trucks and ladders.', 'Skilled Labor: 1 year (preferred)', 'Work Remotely', 'Experience:', 'Clean drivers abstract required, ability to operate and obtain licensing for forklift operation as well as aerial work equipment.']"
1,Painter/Labourer,Maecon Infrastructure Services,"Halifax, NS",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BblFt72T2oBt8n4j-xJmnp4X76cvOkoAs5FIxbfsi4YOrGETQ3P3tV7BwdzrbIZ2CeBEPE3pz21bFdbZkuOCKAI028WEgvlXw-ryrsyYef-8URn8LL3rjJGQjfr6pA3act-RCZC3Ba5t9SMVZnVlz5PXCqPjB85DFkbfIU9BPXl0gGaH5M5d8CwwyFX-kn3gO9fVRi3CtizwyBVVa5-UW-lZPfcnKE5B-3dGcoBmJYoJcYHFvSRGWBrWaYfbIa3WCbyp5HeVtDp1TURg-qv3jnE8aPspyHRpBnITdHL-5Q6Vq_aNwVQnooxnS-sJzf-vtWqXZwkRwGjTUrsRqR1TU4t4ymYoxHjOygmlsQiww87_iDPrfSsYxl59eprnidRN3ACFRtfadwpzZ2XYSAUqDoxnbxP-xibZOrVhGuQvlSkvt2m61QND5PEDe4dtqZxEji63EjZlKokxrS5VR1PwbumKgt_T1bePQ=&p=1&fvj=1&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<p>We have several upcoming opportunities for experienced painters interested in permanent employment, or short-term contract opportunities to make some extra cash.</p>
<p><b>Maecon is looking to hire 3+ Painters in the Halifax and Dartmouth areas</b>. <i>Painting experience required</i>.</p>
<ul>
<li>Permanent Positions</li>
<li>Short Term Contracts</li>
<li>Seasonal Positions</li>
</ul>
<p><b>Rewards: </b></p>
<ul>
<li>Paid weekly</li>
<li>Review after 3 months</li>
<li>RSP Matching</li>
<li>Group Benefits</li>
<li>Equipment Supplied</li>
<li>Meals and Accommodations provided when required to work out of town.</li>
</ul>
<p><b>Job Responsibilities: </b></p>
<ul>
<li>Equipment and Machinery Experience:</li>
<li>Roller painting.</li>
<li>Conventional spray painting.</li>
<li>Brush painting.</li>
<li>Airless spray equipment.</li>
<li>Multi-ratio pump spraying.</li>
</ul>
<p><b>Experience: </b>3 years or more.</p>
<p><b>Weight Handling</b>: Up to 23 kg (50 lbs).</p>
<p><b>Testing Equipment Experience: </b></p>
<ul>
<li>Wet micron gauges.</li>
<li>Thermometers.</li>
<li>Sling psychrometer.</li>
<li>Dry micron gauges.</li>
<li>Specific Skills:</li>
<li>Repair cracks and holes.</li>
<li>Prepare, clean and sand surfaces to be painted.</li>
<li>Mix paint to desired colour and texture.</li>
<li>Apply paint, wallpaper and other materials and finishes to interior and exterior surfaces.</li>
</ul>
<p><b>Work Site Environment: </b></p>
<ul>
<li>Confined spaces.</li>
<li>Outdoors.</li>
<li>At heights.</li>
<li>Odours.</li>
</ul>
<p><b>Work Conditions and Physical Capabilities: </b></p>
<ul>
<li>Physically demanding.</li>
<li>Attention to detail.</li>
<li>Hand-eye co-ordination.</li>
<li>Ability to distinguish between colours.</li>
<li>Bending, crouching, kneeling.</li>
</ul>
<p><b>Coating/Application Specialization: </b></p>
<ul>
<li>Urethanes.</li>
<li>Sign painting.</li>
<li>Paint spraying.</li>
<li>Novelty and decorative effects.</li>
<li>Multi-color finishes.</li>
<li>Lead based removal and encapsulation.</li>
</ul>
<p><b>The Ideal Candidate will Possess: </b></p>
<ul>
<li>Initiative.</li>
<li>Effective interpersonal skills.</li>
<li>Flexibility. Team player.</li>
<li>Client focus.</li>
<li>Reliability.</li>
</ul>
<p><b>Job Requirements</b></p>
<ul>
<li>Must provide COVID-19 Proof of Vaccination</li>
<li>Minimum 3 Years Experience</li>
<li>Scaffolding Awareness/End Frame Erector Course considered an Asset</li>
<li>Painter/Drywaller Apprenticeship considered an asset</li>
</ul>
<p><i><b>Apply Today. Start Tomorrow!</b></i></p>
<p>We recommend candidates to submit proof of training, and/or valid safety certifications with your resume application.<br/>www.maecon.ca<br/>129 Park Road, Elmsdale NS</p>
<p>Job Types: Full-time, Permanent, Casual</p>
<p>Salary: $18.00-$22.00 per hour</p>
<p>Additional pay:</p>
<ul>
<li>Overtime pay</li>
</ul>
<p>Benefits:</p>
<ul>
<li>Casual dress</li>
<li>Dental care</li>
<li>Extended health care</li>
<li>Flexible schedule</li>
<li>On-site parking</li>
<li>RRSP match</li>
<li>Vision care</li>
</ul>
<p>Schedule:</p>
<ul>
<li>10 hour shift</li>
<li>12 hour shift</li>
<li>Day shift</li>
<li>Monday to Friday</li>
</ul>
<p>COVID-19 considerations:<br/>Proof of COVID-19 Vaccination is Required for every project.</p>
<p>Ability to commute/relocate:</p>
<ul>
<li>Halifax, NS: reliably commute or plan to relocate before starting work (preferred)</li>
</ul>
<p>Experience:</p>
<ul>
<li>Painting: 2 years (preferred)</li>
</ul>
<p>Licence/Certification:</p>
<ul>
<li>Fall Protection/Aerial Work Platform Training (preferred)</li>
<li>Proof of Vaccine Status (required)</li>
</ul>
<p>Application deadline: 2022-05-02</p>
</div>","['Painting: 2 years (preferred)', 'Flexible schedule', 'Additional pay:', 'Equipment Supplied', 'Conventional spray painting.', 'Fall Protection/Aerial Work Platform Training (preferred)', 'Minimum 3 Years Experience', 'Experience:', 'Apply paint, wallpaper and other materials and finishes to interior and exterior surfaces.', 'On-site parking', 'Testing Equipment Experience:', 'Casual dress', 'Dental care', 'Experience: 3 years or more.', 'Maecon is looking to hire 3+ Painters in the Halifax and Dartmouth areas. Painting experience required.', 'Mix paint to desired colour and texture.', 'Weight Handling: Up to 23 kg (50 lbs).', 'Wet micron gauges.', 'The Ideal Candidate will Possess:', 'Prepare, clean and sand surfaces to be painted.', 'Equipment and Machinery Experience:', 'Must provide COVID-19 Proof of Vaccination', 'Effective interpersonal skills.', 'Physically demanding.', 'COVID-19 considerations:Proof of COVID-19 Vaccination is Required for every project.', 'Bending, crouching, kneeling.', 'Apply Today. Start Tomorrow!', 'Extended health care', 'Paid weekly', 'Confined spaces.']"
2,"newsign erector, commercial",Hansen Signs Ltd,"Moncton, NB",https://ca.indeed.com/rc/clk?jk=04a297ecb01747bb&fccid=9012b1f3be01a1fa&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<div>
<h2 class=""jobSectionHeader""><b>Major Work Area</b></h2>
<ul>
<li> Service/clean</li>
<li> Repair</li>
<li> Installation</li>
<li> Construction</li>
</ul>
<h2 class=""jobSectionHeader""><b> Credentials (certificates, licences, memberships, courses, etc.)</b></h2>
<ul>
<li> Workplace Hazardous Materials Information System (WHMIS) Certificate</li>
<li> Occupational Health and Safety Certificate</li>
<li> First Aid Certificate</li>
<li> Fall Arrest Protection Training Course</li>
<li> Aerial lift and aerial work platform Certification</li>
<li> Working at heights training</li>
</ul>
<h2 class=""jobSectionHeader""><b> Additional Skills</b></h2>
<ul>
<li> Prepare and maintain work materials and supplies</li>
<li> Professionalism in customer service</li>
<li> Document and prepare invoices and work orders</li>
</ul>
<h2 class=""jobSectionHeader""><b> Area of Specialization</b></h2>
<ul>
<li> Signs/billboards</li>
<li> Awnings</li>
</ul>
<h2 class=""jobSectionHeader""><b> Weight Handling</b></h2>
<ul>
<li> Up to 45 kg (100 lbs)</li>
</ul>
<h2 class=""jobSectionHeader""><b> Specific Skills</b></h2>
<ul>
<li> Utilize hand and power tools</li>
<li> Read and interpret blueprints, maps, drawings and specifications</li>
<li> Measure and mark guidelines to be used for installations</li>
<li> Erect and install scaffolding, falsework and other working platforms</li>
<li> Determine layout and installation procedures</li>
<li> Load and unload trucks with supplies and equipment</li>
<li> Install, repair and service interior or exterior prefabricated products</li>
</ul>
<h2 class=""jobSectionHeader""><b> Security and Safety</b></h2>
<ul>
<li> Driving record check (abstract)</li>
</ul>
<h2 class=""jobSectionHeader""><b> Own Tools/Equipment</b></h2>
<ul>
<li> Steel-toed safety boots</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Site Environment</b></h2>
<ul>
<li> Outdoors</li>
<li> At heights</li>
</ul>
<h2 class=""jobSectionHeader""><b> Transportation/Travel Information</b></h2>
<ul>
<li> Vehicle supplied by employer</li>
<li> Willing to travel</li>
<li> Valid driver's licence</li>
</ul>
<h2 class=""jobSectionHeader""><b> Work Conditions and Physical Capabilities</b></h2>
<ul>
<li> Fast-paced environment</li>
<li> Repetitive tasks</li>
<li> Handling heavy loads</li>
<li> Physically demanding</li>
<li> Attention to detail</li>
<li> Overtime required</li>
</ul>
<h2 class=""jobSectionHeader""><b> Personal Suitability</b></h2>
<ul>
<li> Effective interpersonal skills</li>
<li> Flexibility</li>
<li> Accurate</li>
<li> Team player</li>
<li> Excellent oral communication</li>
<li> Client focus</li>
<li> Dependability</li>
<li> Values and ethics</li>
<li> Reliability</li>
<li> Organized</li>
<li> Punctuality</li>
</ul>
<h2 class=""jobSectionHeader""><b> Workplace information</b></h2>
<ul>
<li> On the road job</li>
</ul>
<h2 class=""jobSectionHeader""><b> Health benefits</b></h2>
<ul>
<li> Health care plan</li>
</ul>
<h2 class=""jobSectionHeader""><b> Long term benefits</b></h2>
<ul>
<li> Registered retirement savings plan (RRSP)</li>
</ul>
<h2 class=""jobSectionHeader""><b> Other benefits</b></h2>
<ul>
<li> Learning/training paid by employer</li>
<li> Team building opportunities</li>
</ul>
<h2 class=""jobSectionHeader""><b> Screening questions</b></h2>
<ul>
<li> Are you currently legally able to work in Canada?</li>
<li> Do you currently reside in proximity to the advertised location?</li>
<li> What is your current field of study?</li>
<li> What is the highest level of study you have completed?</li>
<li> Do you have previous experience in this field of employment?</li>
<li> Are you available for shift or on-call work?</li>
<li> Do you have the above-indicated required certifications?</li>
<li> Do you have education in this field of employment?</li>
</ul>
</div>
</div>","['Effective interpersonal skills', 'Working at heights training', 'Organized', 'Do you currently reside in proximity to the advertised location?', 'Are you available for shift or on-call work?', 'Prepare and maintain work materials and supplies', 'Are you currently legally able to work in Canada?', 'Determine layout and installation procedures', 'Do you have the above-indicated required certifications?', 'Handling heavy loads', 'Repetitive tasks', 'Do you have previous experience in this field of employment?', 'Do you have education in this field of employment?', 'Driving record check (abstract)', 'Physically demanding', 'Excellent oral communication', 'Read and interpret blueprints, maps, drawings and specifications', 'Aerial lift and aerial work platform Certification']"
3,"Steel Erectors - PTC Construction (Winnipeg, MB)",PTC Construction,"Winnipeg, MB",https://ca.indeed.com/company/Prairie-Fleet-Services/jobs/Steel-Erector-ee6c4ea919971146?fccid=e5362e05af7128b8&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p><b>Steel Erectors – Winnipeg, MB</b></p><p>We are seeking motivated, hardworking Steel Erectors with experience in construction and/or agricultural construction at our new facility construction site in Winnipeg, MB.</p><p><b>Responsibilities: </b></p><ul><li>Build and install iron or steel and other construction materials in the new facility;</li><li>Review technical plans drawn by engineers and supervisors;</li><li>Layout building components per project drawings, following technical specifications;</li><li>Cut, position and bolt down steel tower, erect using cranes and reinforce older infrastructure;</li><li>Responsibly and safely operating hand and power tools;</li><li>Installing and connecting beams, columns, girts, purlins, baseplates, gussets;</li><li>Laying metal decking, sixing safety netting and edge rails;</li><li>Lifting and guiding components into position with machinery;</li><li>Other duties as assigned by supervisor.</li></ul><p><b>Qualifications: </b></p><ul><li>Minimum 2-3 year(s) experience as a Steel Erector;</li><li>Capability of reading blueprints and working at heights/with cranes;</li><li>Ticket in Aerial Work Platform, and Fall protection are required;</li><li>Experience with pre-engineered steel structure erection;</li><li>Considerable knowledge of the standard methods, materials, tools and equipment used in steel erecting;</li><li>Specific grain terminal or mill experience considered an asset;</li><li>Experience in bin jacking and bin erection considered an asset;</li><li>Possession of a valid Manitoba Class 5 Motor Vehicle Operator’s License &amp; transportation to and from site required.</li></ul><p>A background check consisting of criminal record and professional references will be conducted. The successful applicant will be required to pass the background check to the satisfaction of PGF prior to offer of employment.</p><p>PTC offers competitive wages along with the opportunity for additional work in the future. To be considered, please apply directly to the ad with your resume.</p><p>PTC Construction, a division of Paterson GlobalFoods, is a leader in Agricultural Engineering with a wide range of experience in the construction of grain and fertilizer handling facilities. We are a fully integrated design-builder managing all project stages including design, construction, and equipment installation.</p><p>Job Type: Full-time</p><p>Additional pay:</p><ul><li>Overtime pay</li></ul><p>Schedule:</p><ul><li>Day shift</li><li>Monday to Friday</li></ul><p>Ability to commute/relocate:</p><ul><li>Winnipeg, MB: reliably commute or plan to relocate before starting work (preferred)</li></ul><p>Experience:</p><ul><li>Steel Erector: 2 years (required)</li><li>working at heights/with cranes: 1 year (required)</li></ul></div>","['Steel Erector: 2 years (required)', 'Experience in bin jacking and bin erection considered an asset;', 'Ticket in Aerial Work Platform, and Fall protection are required;', 'Additional pay:', 'Minimum 2-3 year(s) experience as a Steel Erector;', 'Experience:', 'Specific grain terminal or mill experience considered an asset;', 'Installing and connecting beams, columns, girts, purlins, baseplates, gussets;', 'Responsibly and safely operating hand and power tools;', 'PTC Construction, a division of Paterson GlobalFoods, is a leader in Agricultural Engineering with a wide range of experience in the construction of grain and fertilizer handling facilities. We are a fully integrated design-builder managing all project stages including design, construction, and equipment installation.', 'Cut, position and bolt down steel tower, erect using cranes and reinforce older infrastructure;', 'Laying metal decking, sixing safety netting and edge rails;', 'Other duties as assigned by supervisor.', 'Considerable knowledge of the standard methods, materials, tools and equipment used in steel erecting;', 'We are seeking motivated, hardworking Steel Erectors with experience in construction and/or agricultural construction at our new facility construction site in Winnipeg, MB.', 'Build and install iron or steel and other construction materials in the new facility;', 'working at heights/with cranes: 1 year (required)', 'Review technical plans drawn by engineers and supervisors;', 'Experience with pre-engineered steel structure erection;']"
4,Structural Erector,Brandt,"Regina, SK",https://ca.indeed.com/rc/clk?jk=f8b1bb97f6840575&fccid=a3cadf55c2eb1a08&vjs=3,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">
<div>
<p>As a result of continued growth, Brandt Developments Ltd. is currently seeking a full-time permanent Structural Erector for our Regina location.</p>
<br/> Required Skills
  <br/>
<ul>
<li>Knowledgeable in reading and understanding and interpreting blueprints.</li>
<li>Assist in planning the sequence of tasks to install structural steel and miscellaneous metals most efficiently.</li>
<li>Work at elevated heights safely with the use of aerial work platforms and ladders.</li>
<li>Rig, hoist and move materials with the assistance of mobile cranes and other equipment within worksite.</li>
<li>Working independently and with a team.</li>
<li>Work safely in a high paced construction environment.</li>
<li>Must be able to travel and work at various job site locations across North America for extended periods.</li>
<li>Must be able to lift at least 50 pounds.</li>
</ul>
<br/>
<br/> Required Experience
  <br/>
<ul>
<li>Minimum 5 years’ steel erecting and construction experience.</li>
<li>Able to effectively communicate in both technical and user-friendly language when appropriate, with all types of staff, including technical, professional, and upper management.</li>
<li>Excellent time management skills.</li>
<li>Journeyperson certification preferred.</li>
<li>Currently holding or ability to achieve CWB SMAW all position welding certification.</li>
<li>Safety training in fall protection and aerial platform preferred.</li>
<li>Ability to work shift work.</li>
<li>Flexibility to adjust to shifting priorities and deadlines.</li>
<li>Effective written and verbal communications.</li>
<li>Metal building erectors including pre-engineered and conventional structures required.</li>
<li>Experience in all type of roof and wall systems.</li>
<li>CWB certified in SMAW all position an asset.</li>
</ul>
</div>
</div>","['Effective written and verbal communications.', 'Must be able to lift at least 50 pounds.', 'Excellent time management skills.', 'Rig, hoist and move materials with the assistance of mobile cranes and other equipment within worksite.', 'Must be able to travel and work at various job site locations across North America for extended periods.', 'Currently holding or ability to achieve CWB SMAW all position welding certification.', 'Minimum 5 years’ steel erecting and construction experience.', 'Assist in planning the sequence of tasks to install structural steel and miscellaneous metals most efficiently.', 'Knowledgeable in reading and understanding and interpreting blueprints.', 'Experience in all type of roof and wall systems.', 'Working independently and with a team.', 'Able to effectively communicate in both technical and user-friendly language when appropriate, with all types of staff, including technical, professional, and upper management.', 'Work safely in a high paced construction environment.']"
5,title,company,location,link,description,[]
6,Structural Erector,Brandt,"Regina, SK",https://www.monster.ca/job-openings/structural-erector-regina-11--80e21e08-dbcd-479a-b208-43d4a6bd761a?sid=92e66454-a4dc-4116-b3eb-4d01a681f8d0&jvo=m.go.sc.1&_ga=2.146458295.268330649.1651861191-1274632807.1651861191&hidesmr=1,"<section class=""cached-bot-fjv-skeletonstyle__CachedSkeletonDescription-sc-gqtazs-0 gbrdjA""><p>As a result of continued growth, Brandt Developments Ltd.is currently seeking a full-time permanentStructural Erector for our Regina location.</p><ul><li>Knowledgeable in reading and understanding and interpreting blueprints.</li><li>Assist in planning the sequence of tasks to install structural steel and miscellaneous metals most efficiently.</li><li>Work at elevated heights safely with the use of aerial work platforms and ladders.</li><li>Rig, hoist and move materials with the assistance of mobile cranes and other equipment within worksite.</li><li>Working independently and with a team.</li><li>Work safely in a high paced construction environment.</li><li>Must be able to travel and work at various job site locations across North America for extended periods.</li><li>Must be able to lift at least 50 pounds.</li></ul><ul><li>Minimum5 years’ steel erecting and construction experience.</li><li>Able to effectively communicate in both technical and user-friendly language when appropriate, with all types of staff, including technical, professional, and upper management.</li><li>Excellent time management skills.</li><li>Journeyperson certification preferred.</li><li>Currently holding or ability to achieve CWB SMAW all position welding certification.</li><li>Safety training in fall protection and aerial platform preferred.</li><li>Ability to work shift work.</li><li>Flexibility to adjust to shifting priorities and deadlines.</li><li>Effective written and verbal communications.</li><li>Metal building erectors including pre-engineered and conventional structures required.</li><li>Experience in all type of roof and wall systems.</li><li>CWB certified in SMAW all position an asset.</li></ul></section>","['Effective written and verbal communications.', 'Must be able to lift at least 50 pounds.', 'Minimum5 years’ steel erecting and construction experience.', 'Excellent time management skills.', 'Rig, hoist and move materials with the assistance of mobile cranes and other equipment within worksite.', 'Must be able to travel and work at various job site locations across North America for extended periods.', 'Currently holding or ability to achieve CWB SMAW all position welding certification.', 'Assist in planning the sequence of tasks to install structural steel and miscellaneous metals most efficiently.', 'Knowledgeable in reading and understanding and interpreting blueprints.', 'Experience in all type of roof and wall systems.', 'Working independently and with a team.', 'Able to effectively communicate in both technical and user-friendly language when appropriate, with all types of staff, including technical, professional, and upper management.', 'Work safely in a high paced construction environment.']"
